,Unnamed: 0,state_code,county_code,site_num,parameter_code,poc,latitude,longitude,year,observation_count,observation_percent,valid_day_count,required_day_count,exceptional_data_count,null_data_count,primary_exceedance_count,secondary_exceedance_count,num_obs_below_mdl,arithmetic_mean,arithmetic_standard_dev,first_max_value,second_max_value,third_max_value,fourth_max_value,first_max_non_overlapping_value,second_max_non_overlapping_value,ninety_nine_percentile,ninety_eight_percentile,ninety_five_percentile,ninety_percentile,seventy_five_percentile,fifty_percentile,ten_percentile
0,2943,30,111,81,42101,1,45.783285,-108.503469,1997,8539,97,355,365,0,0,0.0,0.0,0,1.051294,0.604246,5.2,5.2,5.1,5.1,5.2,4.9,3.0,2.7,2.2,1.8,1.3,0.9,0.4
1,8456,6,37,1301,42101,1,33.92899,-118.21071,1999,8754,100,365,365,0,0,35.0,35.0,0,2.123612,1.66706,11.2,11.1,11.1,11.0,11.2,11.1,8.2,7.4,5.8,4.4,2.5,1.5,0.8
2,12458,32,31,22,42101,1,39.532004,-119.784982,2005,8715,99,363,365,0,0,0.0,0.0,0,0.513655,0.512998,3.2,3.2,3.2,3.2,3.2,3.2,2.3,2.0,1.6,1.3,0.7,0.3,0.1
3,13449,27,123,50,42101,1,44.9558,-93.14585,1999,8119,93,338,365,0,0,0.0,0.0,0,1.172928,0.658272,5.3,5.2,5.1,5.1,5.3,5.2,3.3,2.8,2.3,2.0,1.5,1.1,0.5
4,17180,39,49,36,42101,1,39.959561,-83.001817,2007,6757,77,280,365,0,0,0.0,0.0,0,0.295442,0.136554,1.1,1.1,1.1,1.1,1.1,1.1,0.7,0.6,0.5,0.5,0.4,0.3,0.2
5,20842,2,20,18,42101,1,61.205861,-149.824602,2010,4322,49,179,365,0,0,0.0,0.0,0,0.874757,0.701738,4.6,4.5,4.4,4.3,4.6,3.8,3.2,3.0,2.4,1.8,1.1,0.7,0.3
6,21921,9,3,13,42101,1,41.7426,-72.707317,1996,8444,96,345,366,0,0,0.0,0.0,0,0.813536,0.414167,3.9,3.9,3.8,3.8,3.9,3.5,2.7,2.1,1.6,1.3,0.9,0.7,0.5
7,22822,25,25,2,42101,1,42.348873,-71.097163,2000,8001,91,330,366,0,0,0.0,0.0,0,0.532033,0.344677,3.0,2.9,2.8,2.7,3.0,2.3,1.7,1.5,1.2,1.0,0.7,0.5,0.2
8,27143,9,9,25,42101,1,41.309167,-72.923333,1997,8531,97,353,365,0,0,0.0,0.0,0,0.90034,0.389464,4.2,4.0,4.0,4.0,4.2,3.9,2.3,2.0,1.6,1.3,1.1,0.8,0.5
9,28043,4,19,2,42101,1,32.222058,-110.974681,1996,8696,99,362,366,0,0,0.0,0.0,0,0.884901,0.615376,4.6,4.6,4.5,4.4,4.6,4.4,2.9,2.5,2.0,1.7,1.2,0.8,0.2
10,32524,4,19,19,42101,1,32.290075,-111.000651,1992,7437,85,308,366,0,0,0.0,0.0,0,0.803025,0.624382,5.0,4.9,4.8,4.7,5.0,4.8,2.9,2.6,2.1,1.6,1.0,0.6,0.2
11,40437,35,1,28,42101,1,35.102652,-106.577438,2011,8490,97,357,365,0,0,0.0,0.0,0,0.541355,0.286811,2.2,2.2,2.2,2.2,2.2,2.2,1.6,1.3,1.1,0.9,0.7,0.5,0.3
12,44949,39,35,51,42101,1,41.504661,-81.690186,1999,8542,98,354,365,0,0,0.0,0.0,0,0.678459,0.440104,4.8,4.8,4.7,4.6,4.8,3.9,2.5,2.0,1.5,1.2,0.8,0.6,0.3
13,45717,16,1,14,42101,1,43.616379,-116.203817,1994,4909,56,203,365,0,0,0.0,0.0,0,1.751803,0.875985,6.8,6.7,6.6,6.5,6.8,5.4,4.3,4.0,3.4,3.0,2.2,1.6,0.8
14,47450,42,69,2006,42101,1,41.442778,-75.623056,1997,8697,99,361,365,0,0,0.0,0.0,0,0.324894,0.368655,3.0,2.9,2.9,2.9,3.0,2.8,1.8,1.5,1.0,0.7,0.5,0.2,0.0
15,48516,8,123,9,42101,1,40.386368,-104.73744,2016,8214,94,328,366,0,0,0.0,0.0,0,0.239956,0.12243,1.1,1.1,1.0,1.0,1.1,0.9,0.7,0.6,0.5,0.4,0.3,0.2,0.1
16,49590,12,86,31,42101,1,25.622049,-80.344255,1998,7987,91,327,365,0,0,0.0,0.0,0,0.706786,0.285485,2.7,2.6,2.6,2.4,2.7,2.0,1.5,1.4,1.3,1.1,0.9,0.7,0.4
17,52323,12,103,18,42101,1,27.785866,-82.739875,1996,8553,97,350,366,0,0,0.0,0.0,0,0.350976,0.280087,2.2,2.2,2.2,2.1,2.2,2.1,1.3,1.1,0.8,0.7,0.5,0.3,0.0
18,59559,21,111,51,42101,1,38.06091,-85.89804,1995,8551,98,356,365,0,0,0.0,0.0,0,0.504514,0.483596,3.4,3.3,3.3,3.2,3.4,2.4,1.8,1.6,1.4,1.3,0.8,0.4,0.0
19,59598,21,111,1019,42101,1,38.229,-85.7018,1995,8552,98,357,365,0,0,0.0,0.0,0,0.959928,0.571659,4.2,4.2,4.1,4.1,4.2,4.1,2.8,2.5,2.0,1.7,1.2,0.9,0.3
20,59794,48,29,46,42101,1,29.426944,-98.486389,1996,6239,71,246,366,0,0,0.0,0.0,0,0.703927,0.487654,6.6,6.5,6.3,6.1,6.6,4.5,2.8,2.0,1.5,1.2,0.8,0.6,0.3
21,60165,27,137,18,42101,1,46.78362,-92.10251,2012,8402,96,348,366,0,0,0.0,0.0,0,0.147286,0.158617,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.6,0.4,0.3,0.2,0.1,0.0
22,60394,32,31,20,42101,1,39.469219,-119.775354,1995,8687,99,362,365,0,0,0.0,0.0,0,0.86504,0.376321,3.2,3.1,3.1,3.0,3.2,2.5,2.0,1.7,1.5,1.3,1.1,0.8,0.4
23,64559,18,157,6,42101,1,40.445591,-86.856953,1995,6356,73,263,365,0,0,0.0,0.0,0,0.262492,0.134485,1.6,1.5,1.5,1.5,1.6,1.4,0.8,0.7,0.6,0.4,0.3,0.2,0.2
24,64944,41,51,80,42101,1,45.496641,-122.602877,2013,8210,94,337,365,0,0,0.0,0.0,0,0.289196,0.213496,2.0,2.0,2.0,2.0,2.0,1.8,1.2,1.0,0.7,0.5,0.3,0.2,0.1
25,71648,30,111,79,42101,1,45.76939,-108.574985,1996,8634,98,359,366,0,0,0.0,0.0,0,0.942669,0.768225,8.2,7.9,7.8,7.3,8.2,7.1,3.8,3.2,2.3,1.8,1.3,0.8,0.2
26,78134,32,31,2002,42101,1,39.250409,-119.956738,2001,8008,91,334,365,0,0,0.0,0.0,0,0.471254,0.209003,1.8,1.8,1.8,1.6,1.8,1.6,1.1,0.9,0.7,0.7,0.6,0.5,0.1
27,79134,40,143,1127,42101,1,36.204902,-95.976537,2011,8642,99,359,365,0,0,0.0,0.0,0,0.272391,0.152422,1.4,1.4,1.4,1.3,1.4,1.4,0.9,0.7,0.6,0.5,0.3,0.2,0.2
28,83017,39,81,1001,42101,1,40.32207,-80.6063,2005,8589,98,357,365,0,0,0.0,0.0,0,0.542694,0.402318,4.5,4.4,4.4,4.3,4.5,4.4,2.3,1.8,1.2,0.9,0.6,0.4,0.3
29,84315,26,163,1,42101,1,42.22862,-83.2082,1989,8493,97,348,365,0,0,0.0,0.0,0,0.813929,0.605714,6.8,6.8,6.6,6.3,6.8,5.4,3.3,2.6,1.9,1.5,1.0,0.6,0.3
30,87632,30,29,46,42101,1,48.204404,-114.306797,1998,8539,97,354,365,0,0,0.0,0.0,0,0.597459,0.368586,2.8,2.7,2.7,2.7,2.8,2.4,1.9,1.6,1.3,1.1,0.8,0.5,0.2
31,90140,10,3,1008,42101,1,39.57768,-75.6036,1995,7564,86,308,365,0,0,0.0,0.0,0,0.637837,0.232535,1.5,1.5,1.5,1.5,1.5,1.5,1.3,1.2,1.1,1.0,0.8,0.6,0.4
32,96530,4,19,2,42101,1,32.222058,-110.974681,1989,8616,98,356,365,0,0,0.0,0.0,0,1.579352,0.86886,6.5,6.5,6.3,6.1,6.5,5.8,4.2,3.8,3.3,2.8,2.0,1.4,0.7
33,99848,32,31,2009,42101,1,39.645264,-119.840025,1996,8289,94,337,366,0,0,0.0,0.0,0,0.687622,0.426602,3.4,3.3,3.3,3.2,3.4,3.3,2.2,2.0,1.6,1.2,0.9,0.6,0.3
34,102322,32,3,538,42101,1,36.142957,-115.056305,1998,8464,97,351,365,0,0,0.0,0.0,0,0.63587,0.786785,6.3,6.1,5.9,5.7,6.3,5.1,3.4,2.8,2.2,1.7,1.0,0.3,0.0
35,103892,40,143,191,42101,1,36.141697,-95.983793,2010,8725,100,363,365,0,0,0.0,0.0,0,0.332401,0.179372,2.2,2.2,2.2,2.1,2.2,1.8,0.8,0.7,0.6,0.5,0.4,0.3,0.1
36,110574,48,309,1037,42101,1,31.653074,-97.070698,2007,6078,69,252,365,0,0,0.0,0.0,0,0.221241,0.106856,0.6,0.5,0.5,0.5,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.2,0.1
37,120701,8,41,6,42101,1,38.85054,-104.83063,1990,5699,65,234,365,0,0,0.0,0.0,0,1.327479,1.061322,7.2,7.2,6.9,6.9,7.2,6.9,4.8,4.2,3.5,2.8,1.8,1.0,0.3
38,129067,6,37,5001,42101,1,33.92288,-118.37026,1999,8744,100,364,365,0,0,0.0,0.0,0,1.095837,1.323833,8.4,8.4,8.3,8.2,8.4,7.9,5.9,5.4,4.2,3.0,1.3,0.5,0.2
39,135325,34,3,4,42101,1,40.854583,-73.967772,1999,8712,99,363,365,0,0,0.0,0.0,0,1.40551,0.561111,4.0,3.9,3.9,3.8,4.0,3.8,2.9,2.7,2.4,2.1,1.8,1.4,0.7
40,136364,39,153,22,42101,1,41.080266,-81.516228,1996,8732,99,363,366,0,0,0.0,0.0,0,0.98383,0.466264,3.5,3.4,3.3,3.3,3.5,3.3,2.5,2.2,1.9,1.6,1.2,0.9,0.5
41,142956,8,59,2,42101,1,39.800333,-105.099973,1990,8696,99,360,365,0,0,0.0,0.0,0,1.091329,0.869122,5.3,5.2,5.2,5.1,5.3,5.2,4.2,3.7,3.0,2.4,1.4,0.8,0.4
42,149427,17,143,36,42101,1,40.700072,-89.613414,2001,8496,97,353,365,0,0,0.0,0.0,0,1.001059,0.573835,4.7,4.5,4.3,4.1,4.7,3.5,2.6,2.4,2.1,1.8,1.3,0.9,0.3
43,153732,48,439,1002,42101,1,32.805818,-97.356568,2010,8516,97,350,365,0,0,0.0,0.0,0,0.229732,0.137903,1.3,1.2,1.1,1.0,1.3,1.0,0.7,0.6,0.5,0.4,0.3,0.2,0.1
44,154490,55,101,17,42101,1,42.713897,-87.798634,1989,8521,97,354,365,0,0,0.0,0.0,0,1.518953,0.97927,6.6,6.6,6.6,6.4,6.6,6.4,4.9,4.4,3.6,2.9,1.9,1.3,0.5
45,157564,4,19,1024,42101,1,32.295909,-110.823422,1991,7291,83,299,365,0,0,0.0,0.0,0,0.778508,0.397234,3.1,3.0,3.0,2.9,3.1,3.0,2.1,1.8,1.5,1.3,1.0,0.7,0.4
46,162483,4,19,1014,42101,1,32.20739,-110.910619,1989,8653,99,360,365,0,0,0.0,0.0,0,2.14172,1.181344,7.9,7.7,7.5,7.4,7.9,7.1,5.5,5.1,4.4,3.8,2.8,1.9,0.8
47,165742,6,71,1004,42101,1,34.10374,-117.62914,2013,8268,94,339,365,0,0,0.0,0.0,0,0.379463,0.14454,1.4,1.3,1.3,1.3,1.4,1.2,0.8,0.7,0.6,0.6,0.5,0.4,0.2
48,184507,4,19,1011,42101,1,32.204411,-110.878067,1993,8436,96,349,365,0,0,0.0,0.0,0,0.742805,0.385141,5.1,5.1,4.9,4.7,5.1,3.1,1.9,1.7,1.4,1.2,0.9,0.7,0.3
49,192711,9,5,4,42101,1,41.64486,-73.07908,2007,8544,98,351,365,0,0,0.0,0.0,0,0.271524,0.115265,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.5,0.4,0.3,0.2,0.2
50,196048,4,19,1021,42101,1,32.0475,-110.773889,2001,5448,62,227,365,0,0,0.0,0.0,0,0.52254,0.464995,2.8,2.7,2.7,2.6,2.8,2.6,1.9,1.7,1.4,1.2,0.8,0.4,0.0
51,201874,39,35,51,42101,1,41.504661,-81.690186,2003,8414,96,346,365,0,0,0.0,0.0,0,0.350725,0.334464,3.1,2.9,2.9,2.7,3.1,2.7,1.5,1.3,1.0,0.8,0.5,0.3,0.0
52,202677,41,51,80,42101,1,45.496641,-122.602877,2008,8144,93,336,366,0,0,0.0,0.0,0,0.350675,0.290311,3.1,3.1,3.0,3.0,3.1,2.5,1.6,1.3,0.9,0.6,0.4,0.3,0.1
53,203190,4,13,19,42101,1,33.48385,-112.14257,1996,8093,92,335,366,0,0,0.0,0.0,0,1.609181,1.51397,8.5,8.3,8.3,8.2,8.5,8.2,6.5,5.9,5.0,3.9,2.2,1.0,0.4
54,205367,39,35,51,42101,1,41.504661,-81.690186,2009,8416,96,344,365,0,0,0.0,0.0,0,0.326283,0.494183,7.1,6.8,6.6,6.6,7.1,6.6,2.2,1.5,0.9,0.7,0.4,0.2,0.0
55,208320,12,103,2008,42101,1,27.892801,-82.680378,1996,8419,96,342,366,0,0,0.0,0.0,0,0.865079,0.506033,2.7,2.7,2.7,2.6,2.7,2.7,2.2,2.0,1.8,1.6,1.2,0.8,0.3
56,209356,27,123,50,42101,1,44.9558,-93.14585,2012,8766,100,365,366,0,0,0.0,0.0,0,0.119792,0.195924,2.3,2.2,2.1,2.1,2.3,1.5,0.9,0.7,0.5,0.3,0.2,0.0,0.0
57,211288,41,51,80,42101,1,45.496641,-122.602877,1994,4281,49,176,365,0,0,0.0,0.0,0,0.741089,0.709815,6.1,6.0,5.7,5.7,6.1,5.7,3.5,2.9,2.2,1.7,0.9,0.5,0.2
58,212994,39,49,5,42101,1,40.060124,-82.976857,2007,8627,98,358,365,0,0,0.0,0.0,0,0.346494,0.165252,1.6,1.6,1.6,1.5,1.6,1.6,1.0,0.8,0.6,0.5,0.4,0.3,0.2
59,222659,35,1,23,42101,1,35.1343,-106.5852,2011,8488,97,352,365,0,0,0.0,0.0,0,0.208141,0.151357,1.3,1.3,1.3,1.3,1.3,1.3,0.8,0.7,0.5,0.4,0.2,0.2,0.1
60,230495,29,95,37,42101,1,39.037778,-94.5875,2003,2151,25,90,365,0,0,0.0,0.0,0,0.475965,0.261665,2.0,2.0,2.0,1.8,2.0,1.8,1.3,1.1,0.9,0.8,0.6,0.5,0.2
61,237381,6,71,1,42101,1,34.895007,-117.024484,1996,8430,96,347,366,0,0,0.0,0.0,0,0.362681,0.320172,2.3,2.3,2.3,2.3,2.3,2.1,1.5,1.3,1.0,0.8,0.5,0.3,0.1
62,240334,36,5,83,42101,1,40.86585,-73.88083,1995,8321,95,346,365,0,0,0.0,0.0,0,0.728362,0.404742,3.7,3.6,3.6,3.6,3.7,3.6,2.3,2.0,1.5,1.2,0.8,0.6,0.4
63,243605,12,86,31,42101,1,25.622049,-80.344255,2010,8486,97,352,365,0,0,0.0,0.0,0,0.384327,0.285488,1.1,1.1,1.1,1.1,1.1,1.0,1.0,0.9,0.9,0.8,0.6,0.4,0.0
64,245421,18,89,15,42101,1,41.628647,-87.46143,1990,7486,85,307,365,0,0,0.0,0.0,0,0.853647,0.514749,4.4,4.3,4.3,4.3,4.4,3.8,2.7,2.3,1.8,1.5,1.1,0.7,0.3
65,250991,4,13,19,42101,1,33.48385,-112.14257,2004,8488,97,351,366,0,0,0.0,0.0,0,0.78009,0.789682,5.2,5.2,5.1,5.0,5.2,5.1,3.4,3.0,2.5,2.0,1.1,0.5,0.1
66,260716,26,163,26,42101,1,42.359175,-83.255146,2001,8693,99,361,365,0,0,0.0,0.0,0,0.314126,0.263317,3.8,3.8,3.7,3.7,3.8,2.9,1.2,1.0,0.8,0.6,0.4,0.3,0.1
67,271591,34,7,1001,42101,1,39.68425,-74.861491,1999,8732,100,365,365,0,0,0.0,0.0,0,0.301145,0.124056,1.4,1.3,1.3,1.2,1.4,1.0,0.8,0.6,0.5,0.4,0.4,0.3,0.2
68,274338,50,7,7,42101,1,44.52839,-72.86884,2014,5320,61,216,365,0,0,0.0,0.0,0,0.126109,0.072299,0.6,0.6,0.6,0.5,0.6,0.4,0.3,0.3,0.2,0.2,0.2,0.1,0.0
69,275834,6,67,6,42101,1,38.613779,-121.368014,2011,8554,98,354,365,0,0,0.0,0.0,0,0.298843,0.273178,2.3,2.2,2.2,2.2,2.3,2.2,1.5,1.2,0.8,0.6,0.3,0.2,0.1
70,277132,20,209,21,42101,1,39.117219,-94.635605,2003,7054,81,292,365,0,0,0.0,0.0,0,0.548115,0.475179,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.6,1.3,1.1,0.9,0.5,0.0
71,278801,29,95,37,42101,1,39.037778,-94.5875,2001,8571,98,355,365,0,0,0.0,0.0,0,0.521199,0.445546,3.9,3.9,3.8,3.8,3.9,3.6,2.0,1.7,1.4,1.1,0.7,0.4,0.1
72,288562,6,1,2004,42101,1,37.877794,-122.30129,2010,8587,98,350,365,0,0,0.0,0.0,0,0.316886,0.180641,1.5,1.5,1.5,1.4,1.5,1.4,1.0,0.9,0.7,0.6,0.4,0.3,0.2
73,290075,39,151,20,42101,1,40.800729,-81.373008,1998,8649,99,358,365,0,0,0.0,0.0,0,0.705469,0.315234,4.3,4.3,4.1,4.0,4.3,3.5,1.8,1.4,1.2,1.0,0.8,0.7,0.4
74,292227,40,115,9004,42101,1,36.922222,-94.838889,2001,8105,93,336,365,0,0,0.0,0.0,0,0.039149,0.05256,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.0,0.0
75,301717,27,3,600,42101,1,45.07694,-93.2541,1997,7989,91,330,365,0,0,0.0,0.0,0,0.624747,0.244319,2.6,2.5,2.5,2.5,2.6,2.4,1.4,1.3,1.1,0.9,0.7,0.6,0.4
76,304024,4,19,1031,42101,1,32.1912,-110.840582,2015,4346,50,181,365,0,0,0.0,0.0,0,0.309641,0.175158,1.0,1.0,1.0,1.0,1.0,0.9,0.7,0.7,0.6,0.5,0.4,0.3,0.1
77,307490,16,1,14,42101,1,43.616379,-116.203817,1997,8011,91,332,365,0,0,0.0,0.0,0,1.521533,0.847403,8.0,7.8,7.7,7.6,8.0,6.2,4.2,3.6,3.1,2.7,2.0,1.3,0.6
78,308390,6,111,2002,42101,1,34.276362,-118.683757,1998,8485,97,349,365,0,0,0.0,0.0,0,0.653353,0.438072,3.5,3.4,3.2,3.2,3.5,2.9,2.2,1.9,1.5,1.3,0.8,0.5,0.2
79,308525,17,31,63,42101,1,41.877682,-87.635027,2007,8530,97,354,365,0,0,0.0,0.0,0,0.449812,0.176635,1.5,1.5,1.5,1.4,1.5,1.4,1.0,0.9,0.8,0.7,0.5,0.4,0.2
80,318854,4,19,1031,42101,1,32.1912,-110.840582,2006,5074,58,212,365,0,0,0.0,0.0,0,0.520733,0.309581,1.8,1.8,1.7,1.7,1.8,1.6,1.4,1.2,1.1,0.9,0.7,0.5,0.1
81,343383,25,13,16,42101,1,42.108992,-72.590803,2002,8676,99,361,365,0,0,0.0,0.0,0,0.705844,0.391455,4.2,4.1,3.9,3.8,4.2,3.3,2.3,1.9,1.3,1.1,0.8,0.7,0.3
82,345154,4,13,4005,42101,1,33.4124,-111.93473,2004,4930,56,205,366,0,0,0.0,0.0,0,0.419777,0.345977,1.9,1.9,1.8,1.7,1.9,1.7,1.5,1.3,1.1,0.9,0.6,0.3,0.0
83,354101,30,13,1025,42101,1,47.496347,-111.294975,1991,8412,96,349,365,0,0,4.0,4.0,0,1.22412,0.92347,10.4,10.1,9.8,9.5,10.4,6.6,4.4,3.6,2.9,2.3,1.7,1.0,0.2
84,356808,11,1,41,42101,1,38.895572,-76.958072,2006,8739,100,363,365,0,0,0.0,0.0,0,1.118389,0.466573,3.4,3.3,3.3,3.3,3.4,3.3,2.6,2.4,1.9,1.7,1.4,1.1,0.6
85,358612,44,7,1010,42101,1,41.841039,-71.36097,2000,7874,90,294,366,0,0,0.0,0.0,0,0.521044,0.28508,2.6,2.5,2.5,2.4,2.6,2.4,1.7,1.4,1.0,0.8,0.6,0.5,0.3
86,362570,4,19,1014,42101,1,32.20739,-110.910619,1991,8398,96,344,365,0,0,0.0,0.0,0,1.9181,0.990841,6.4,6.4,6.1,5.7,6.4,5.7,4.6,4.3,3.8,3.3,2.5,1.8,0.8
